time-of-completion,duration,label
2024-08-21-13-54,90,W1 main
2024-08-19-17-36,72,W1 main
2024-08-18-19-47,14,W1 main
2024-08-17-13-09,35,W1 main
2024-08-07-07-18,90,W1 main
2024-08-07-05-47,90,W1 main
2024-08-07-04-16,90,W1 main
2024-08-07-02-45,90,W1 main
2024-08-07-01-14,90,W1 main
2024-08-06-23-43,90,W1 main
2024-08-06-22-12,90,W1 main
2024-08-06-20-41,90,W1 main
2024-08-06-19-10,90,W1 main
2024-08-06-17-39,90,W1 main
2024-08-06-16-08,90,W1 main
2024-08-06-14-37,90,W1 main
2024-08-04-13-59,19,W1 main
2024-08-02-18-35,90,W1 main
2024-08-02-13-17,90,W1 main
2024-08-02-10-46,30,W1 main
2024-08-01-22-27,90,W1 main
2024-08-01-20-56,90,W1 main
2024-08-01-19-25,90,W1 main
2024-08-01-17-54,90,W1 main
2024-07-31-15-17,90,W1 main
2024-07-31-13-46,90,W1 main
2024-07-31-12-15,90,W1 main
2024-07-31-10-44,90,W1 main
2024-07-31-09-13,90,W1 main
2024-07-31-07-42,90,W1 main
2024-07-31-06-11,90,W1 main
2024-07-31-04-40,90,W1 main
2024-07-31-03-09,90,W1 main
2024-07-31-01-38,90,W1 main
2024-07-31-00-07,90,W1 main
2024-07-30-22-36,90,W1 main
2024-07-30-21-05,90,W1 main
2024-07-30-19-34,90,W1 main
2024-07-30-18-03,90,W1 main
2024-07-30-16-32,90,W1 main
2024-07-30-15-01,90,W1 main
2024-07-30-13-29,90,W1 main
2024-07-30-11-58,90,W1 main
2024-07-26-00-11,90,W1 main
2024-07-25-22-40,90,W1 main
2024-07-25-21-09,90,W1 main
2024-07-25-19-38,90,W1 main
2024-07-25-18-07,90,W1 main
2024-07-25-16-36,90,W1 main
2024-07-25-15-05,90,W1 main
2024-07-25-13-35,34,W1 main
2024-07-18-14-19,90,W1 main
2024-07-18-12-49,56,W1 main
2024-07-17-15-08,2,W1 main
2024-07-16-14-23,90,W1 main
2024-07-16-12-52,90,W1 main
2024-07-13-21-12,90,W1 main
2024-07-13-19-41,90,W1 main
2024-07-13-18-10,90,W1 main
2024-07-13-16-39,90,W1 main
2024-07-13-15-08,90,W1 main
2024-07-13-13-23,90,W1 main
2024-07-12-16-13,90,W1 main
2024-07-12-14-42,90,W1 main
2024-07-12-10-46,90,W1 main
2024-07-11-18-22,30,W1 main
2024-07-10-17-04,90,W1 main
2024-07-10-13-34,90,W1 main
2024-07-09-18-07,90,W1 main
2024-07-09-13-13,90,W1 main
2024-07-09-09-57,69,W1 main
2024-07-08-17-42,90,W1 main
2024-07-08-15-50,90,W1 main
2024-07-05-16-39,90,W1 main
2024-07-05-15-08,90,W1 main
2024-07-05-12-53,62,W1 main
2024-07-05-11-50,90,W1 main
2024-07-05-10-19,90,W1 main
2024-07-05-08-48,90,W1 main
2024-07-05-07-17,90,W1 main
2024-07-05-05-46,90,W1 main
2024-07-05-04-15,90,W1 main
2024-07-05-02-44,90,W1 main
2024-07-05-01-13,90,W1 main
2024-07-04-18-36,90,W1 main
2024-07-04-16-38,90,W1 main
2024-07-03-18-54,90,W1 main
2024-07-03-16-03,90,W1 main
2024-07-03-04-28,39,W1 main
2024-07-02-21-12,90,W1 main
2024-07-02-18-18,90,W1 main
2024-07-02-00-03,24,W1 main
2024-07-01-18-28,90,W1 main
2024-07-01-16-07,90,W1 main
2024-07-01-13-50,90,W1 main
2024-07-01-12-20,30,WCmn
2024-06-28-18-18,90,W1 main
2024-06-28-11-55,11,W1 main
2024-06-27-14-25,90,W1 main
2024-06-26-21-30,51,W1 main
2024-06-26-20-05,15,WCmn
2024-06-25-22-18,47,WCmn
2024-06-24-21-59,64,WCmn
2024-06-24-15-16,90,WCmn
2024-06-23-20-56,19,WCmn
2024-06-23-10-29,30,WCmn
2024-06-23-02-59,89,WCmn
2024-06-22-22-55,90,WCmn
2024-06-12-11-26,141,WCmn
2024-06-08-23-13,62,WCmn
2024-06-08-12-36,92,WCmn
2024-06-06-21-25,202,WCmn
2024-06-05-12-27,181,W1 main
2024-06-04-10-31,91,WCmn
2024-05-31-09-46,197,W1 main
2024-05-31-06-28,240,W1 main
2024-05-31-02-27,240,W1 main
2024-05-30-22-26,240,W1 main
2024-05-30-18-25,240,W1 main
